feature,importance,mutual_info,correlation,cohens_d,pca_reconstruction_error,importance_norm,mutual_info_norm,correlation_norm,cohens_d_norm,pca_reconstruction_error_norm,usefulness_score,combined_score,feature_group
diverse_src_ports,0.001838847501262786,0.09090053524659059,0.355920691244783,0.8169895798710556,0.054320281472303805,0.01046261803447971,0.19580542909313564,0.4853623880204149,0.39535606933487516,0.2465969882644168,0.24800163762142963,0.24758024281432578,Engineered - Scanning
packets_total,0.013706870400385776,0.30471941636329336,0.4285823660845248,0.20674669451428174,0.005497473543788747,0.07798893021246678,0.656384650675227,0.584449754631324,0.10004847369539929,0.02495680033714155,0.32939491108266145,0.23806347785900545,Engineered - Traffic Volume
ct_dst_src_ltm,0.018130082140495708,0.09420197189830049,0.2187851844707238,0.6777141916015813,0.04980391161636066,0.10315598451719621,0.20291692979506476,0.2983532629890452,0.3279581839542581,0.22609409000657862,0.2233362263902986,0.2241635854751826,Connection Patterns
ct_src_ltm,0.0014365570074843593,0.09013301025971376,0.08145096838420718,0.5175032703857777,0.08826227347603857,0.008173677938895126,0.19415213234425038,0.11107316178576787,0.2504292146295864,0.4006829535237004,0.13581207248228133,0.21527333679470706,Connection Patterns
ct_src_dport_ltm,0.002810744990370954,0.08723733141460754,0.32290253692741383,0.678796100762518,0.029380908570338343,0.01599249051723079,0.18791465929479212,0.4403361486875541,0.3284817394117375,0.13338008142707708,0.22196407656931244,0.19538887802664182,Connection Patterns
ct_srv_dst,0.0196395223341055,0.09608630403551177,0.06861189899020471,0.495358276152738,0.04142086037881715,0.11174435096997987,0.20697589888341764,0.09356476304885065,0.23971285044193066,0.18803767476693115,0.16390844523210116,0.17114721409255013,Connection Patterns
ct_srv_src,0.013026270811243024,0.08550350051536992,0.09106349942390292,0.4961096175010505,0.04345534263257265,0.07411647557404007,0.184179879270899,0.12418159053159306,0.24007643814184293,0.19727358413366206,0.15313534013171612,0.1663768133322999,Connection Patterns
ct_dst_ltm,0.009103715215295528,0.11222630313948856,0.02932308973351022,0.49732312497115827,0.048076091003144326,0.05179803922125597,0.2417424647957513,0.0399873488878038,0.24066367640694547,0.21825032800955052,0.14413841684461173,0.16637199019409338,Connection Patterns
dloss,0.007086636107823627,0.1435696084858391,0.38791743101066384,0.24751885254266456,0.0015250640808990796,0.040321324467957984,0.30925790170589346,0.5289957434382234,0.11977886014530473,0.00692331112922718,0.22515473649083162,0.15968530888235027,Network Quality
swin,0.0038947803398415044,0.0566206639434923,0.33296398692864254,0.7574242611272649,0.0032508435110497787,0.02216040155367908,0.12196444574191406,0.45405675982276283,0.36653133170365493,0.01475780679731074,0.21958341679204854,0.1581357337936272,TCP Features
has_tcp_info,0.003562336172649589,0.057068055688416,0.3330095625609501,0.7575832562696425,0.0032120007824256542,0.02026887094185231,0.12292815549730625,0.4541189104599033,0.36660827233555826,0.014581473029608065,0.2192885503327525,0.15787642714180916,Engineered - TCP
tcp_handshake_time,0.016733624835257938,0.2315090806795388,0.16351578631164268,0.18249709398960773,0.0026470331522240736,0.0952104646325249,0.49868501608316634,0.22298341870962546,0.08831365236770355,0.01201669773208629,0.21990949024440004,0.1575416524907059,Engineered - TCP
window_size_avg,0.0034862436215982256,0.06258884890951077,0.3276040711850641,0.7422467005602493,0.003139699806864235,0.019835921881980387,0.13482028883467825,0.44674754299753966,0.35918663498327036,0.014253249347057457,0.21880201611858924,0.15743738608712968,Engineered - TCP
spkts,0.007135608367384929,0.17333811515315456,0.35328604916367345,0.09687180390548289,0.005793106449546184,0.04059996532628008,0.3733811239250299,0.481769575903777,0.04687802214992165,0.026298880720668515,0.21359869129737732,0.15740874812436467,Basic Flow
has_packet_loss,0.0015281605847903468,0.060454490307847,0.332894688402634,0.7572893457650139,0.0034815705484488144,0.008694881159546274,0.13022274712930004,0.45396225871929463,0.3664660437139099,0.01580523495842554,0.21757311380252528,0.15704275014929533,Engineered - Loss & Jitter
has_timing,9.89181644195329e-05,0.05419907847531569,0.31928440035249656,0.7227294203920145,0.008141598237743823,0.0005628215337501946,0.11674819943053925,0.4354021635291074,0.3497418692707889,0.03696029458371215,0.20387179634127858,0.15379834581400867,Engineered - TCP
dwin,0.0005220260164454341,0.05385820994271495,0.31952576398025856,0.7232357472062984,0.007723982464252503,0.0029702075949086934,0.11601394732620153,0.43573130659281106,0.34998688999568683,0.035064450357514945,0.20453753292750693,0.15369560815650932,TCP Features
total_loss,0.004128574701161312,0.15912282787046528,0.3864278223311589,0.12396333517833077,0.002160206230255104,0.02349063752997645,0.3427605074620089,0.5269643919498571,0.05998810528952113,0.00980665666621306,0.21312722283684687,0.1521310529856567,Engineered - Loss & Jitter
tcprtt,0.010536399147574522,0.22954476721039407,0.16351578966952676,0.1824970939896076,0.0026470331522240723,0.05994968025580491,0.49445376221149306,0.22298342328870915,0.0883136523677035,0.012016697732086285,0.20827344237928244,0.14939641898512357,TCP Features
djit,0.006553915154631615,0.16949222602427105,0.2380900505895087,0.12677430106866766,0.003724494047200168,0.03729026515043199,0.3650968385896044,0.3246789477562277,0.0613483826453393,0.016908031216970005,0.18273417440511106,0.13298633144866875,Network Quality
avg_jitter,0.008320859364236067,0.2088269490291288,0.2139649837725716,0.021063826823236733,0.000985537289678177,0.047343770044465674,0.4498262881504053,0.2917800454741809,0.010193167676997468,0.004474029236774631,0.1875640040650266,0.132637011616551,Engineered - Loss & Jitter
sjit,0.007753981483252553,0.19895882849803614,0.1997143147304809,0.011484704010007321,0.0011083539335815019,0.044118365688284554,0.42856974032379774,0.27234667470563295,0.0055576564827027565,0.0050315781609411095,0.1762366938492371,0.1248751591427483,Network Quality
sloss,0.005280251971262708,0.11438672628978686,0.3798789429605064,0.003881414560931162,0.0016638151273209204,0.030043415488881946,0.24639615116645688,0.5180338076697444,0.0018782868742476362,0.007553197227729959,0.1746883956907896,0.12454783615187169,Network Quality
is_sm_ips_ports,0.005078258255317479,0.01871497973290004,0.18276583471458183,0.39876999288872045,0.0020695219813935918,0.028894117847914545,0.04031323497852862,0.24923434958324903,0.19297202907050945,0.009394978706413246,0.1168364212832837,0.08460398851022256,Binary Indicators
repeated_connection,0.0034319013547679873,0.02107797768318309,0.18276583471458183,0.39876999288872045,0.0020695219813935913,0.019526726921233445,0.04540328011793529,0.24923434958324903,0.19297202907050945,0.009394978706413242,0.11529871529013103,0.08352759431501569,Engineered - Scanning
connection_failed,0.0005414165078997784,0.004385121443792661,0.03528981087033483,0.07574780059915975,0.04303727362855055,0.0030805350176277215,0.009445825413437676,0.048124054875569346,0.036655733981787446,0.19537568238344527,0.022074361329208467,0.0740647576454795,Engineered - Connection State
is_http,0.000444081358509622,0.004791668984908792,0.01894075694789387,0.04063734689380529,0.006560191308199946,0.0025267204741710844,0.010321554203362365,0.025829155902660057,0.019665148897821158,0.029781204647574173,0.013420523098079219,0.018328727562927704,Engineered - Application
high_jitter,0.00028837061770366164,0.00019777142990795582,0.015552631040652956,0.033366180830707165,0.0036269698749356784,0.0016407622836197414,0.00042601200961512204,0.021208831988641503,0.016146499817080953,0.016465302156818407,0.008877123039488243,0.011153576774687292,Engineered - Loss & Jitter
ftp_commands_count,2.034864963055093e-05,0.002413431349017392,0.017263367620475357,0.034560391225915,0.00011858698031943426,0.00011577912168121978,0.005198681829531913,0.02354173145776909,0.01672439987779254,0.0005383475821835411,0.010223850454889298,0.007318199593077571,Engineered - Application
http_methods_count,0.0006639638002754488,0.0,0.01861511282250918,0.02671605545695109,0.00026535089243050116,0.003777800837879727,0.0,0.025385081101083458,0.01292838358508779,0.0012046095700001098,0.009442452367852558,0.006971099528496823,Engineered - Application
ct_flw_http_mthd,0.000508440195757482,0.0,0.01861511282250918,0.02671605545695109,0.0002653508924305011,0.0028929074096321213,0.0,0.025385081101083458,0.01292838358508779,0.0012046095700001095,0.009176984339378276,0.006785271908564826,State Features
ct_ftp_cmd,1.1631602375970815e-05,0.0004185892884889242,0.017263367620475357,0.034560391225915,0.00011858698031943418,6.61811339467556e-05,0.0009016674656977699,0.02354173145776909,0.01672439987779254,0.0005383475821835407,0.009134717467610423,0.006555806501982358,State Features
is_ftp,3.787403472539745e-05,0.0,0.017263367620475357,0.034560391225915,0.00011858698031943424,0.00021549451952069471,0.0,0.02354173145776909,0.01672439987779254,0.000538347582183541,0.008954094616858161,0.006429370506455775,Engineered - Application
is_ftp_login,1.9510632617698973e-05,0.0,0.017263367620475357,0.034560391225915,0.00011858698031943422,0.00011101099822027777,0.0,0.02354173145776909,0.01672439987779254,0.000538347582183541,0.008922749560468037,0.006407428966982688,Binary Indicators
