feature,importance,mutual_info,correlation,cohens_d,pca_reconstruction_error,importance_norm,mutual_info_norm,correlation_norm,cohens_d_norm,pca_reconstruction_error_norm,usefulness_score,combined_score,feature_group
Fwd IAT Mean,0.006114213003796226,0.1583186958489431,0.1339453637155067,0.36289514044961385,0.0278420727780697,0.09149869211690008,0.3823968880196794,0.36157255286502077,0.2446869634686942,0.039885671066489714,0.2565350810801676,0.19154025807606423,Packet Timing
Flow IAT Mean,0.008478208619250228,0.1627466629397405,0.08635839106952514,0.43127604777945494,0.024345266896819016,0.1268756910617894,0.3930920294032975,0.23311612327727887,0.2907937163809618,0.03487625778484678,0.25565736842005743,0.18942303522949422,Flow Duration
Fwd Packets/s,0.006380744052944088,0.17715595928825612,0.08018450687960396,0.10981596877314521,0.10689367271597922,0.09548730723227682,0.4278956895312399,0.21645032010409776,0.07404490428332061,0.1531324877649481,0.1974214046441427,0.1841347295803843,Flow Rates
Fwd Header Length,0.017764351819161556,0.17037187557936617,0.1274751760514407,0.005441565918100569,0.0001707948559518466,0.26584205632819147,0.41150967469936095,0.3441069071247101,0.003669049520379661,0.0002446752976563458,0.2523686793783346,0.17673147815413115,Header Info
Flow Packets/s,0.006278586529173832,0.17236207536160664,0.07747231548983681,0.11778425558237741,0.06337400061333845,0.09395852833480041,0.41631672669777015,0.20912902179668116,0.07941762958623601,0.09078758477429645,0.1939469519307779,0.16299914178383346,Flow Rates
Active Std,0.0003166779376941787,0.017768954613034404,0.128214791949346,0.06366285426454091,0.22800256137372413,0.00473905915664109,0.04291844946645096,0.346103428698336,0.042925541732084384,0.326629243366987,0.09210340128629338,0.16246115391050148,Active/Idle
is_asymmetric,5.490052947627223e-05,0.0012768421295838994,0.029467365875252696,0.07445779829605761,0.316629047840595,0.0008215818847798269,0.003084035364409319,0.07954430381295269,0.05020417895112719,0.45359273905113956,0.029477388906908614,0.15671199395017787,Engineered - Asymmetry
has_response,0.0024604500575418063,0.010039039079819734,0.08518699158427806,0.21594097804593432,0.1923948906887807,0.036820431696482955,0.024247908828745193,0.22995404367588895,0.14560112913348838,0.2756188228532451,0.09949919773468108,0.15233508527025028,Engineered - Response
Bwd Header Length,0.020021720381635157,0.17367880564759686,0.03702142995589317,0.005361358839599704,0.00017071234020837078,0.2996233902404873,0.4194971063808136,0.09993576909684537,0.003614968811382686,0.00024455708821740355,0.21565218968956432,0.15102989990916024,Header Info
ACK Flag Count,0.004184890972896129,0.009322818932488985,0.12402032285476372,0.31567413469358896,0.1156273849007036,0.06262654742876522,0.022517978235218877,0.3347808651069395,0.21284756078045752,0.16564412704432294,0.14458552200393657,0.15090310351605246,TCP Flags
Active Min,0.0010646289167470207,0.11833499748231646,0.1528841325137017,0.06054383319114488,0.07574409072744284,0.015932083722255456,0.2858218010097163,0.4126959272957179,0.0408224995295942,0.10850858382802463,0.16897988571064784,0.15083849514586087,Active/Idle
repeated_connection,0.00017059436076943347,0.00541097411999214,0.08055061982574524,0.20410923463138686,0.21118401069408993,0.0025529305052392304,0.01306945874929547,0.21743860658823763,0.1376234158881155,0.302535520691592,0.08192681912857204,0.14810942959747803,Engineered - Scanning
Bwd IAT Max,0.003930173239666089,0.15297841523412892,0.0015940289006286257,0.2866414656533951,0.08437675842082858,0.05881471760944758,0.3694981796434735,0.004302926827426954,0.19327189046413665,0.1208754699714983,0.15919751817522218,0.147700903714105,Packet Timing
Active Max,0.0013317730881575688,0.11789648622308513,0.15210988886297255,0.044600806132497575,0.0717295025609287,0.019929874161604168,0.28476263778207295,0.41060593145287366,0.030072697604315243,0.10275741205452327,0.16680898238565303,0.1475935112863141,Active/Idle
Bwd IAT Total,0.002118142766522056,0.1421844729455335,0.0094296006013293,0.03825679691776863,0.16799951222513407,0.03169783138619941,0.34342690664258196,0.025454294701545224,0.02579516346856958,0.2406707768259408,0.10690572588395675,0.14703524116655198,Packet Timing
Fwd Packet Length Std,0.002935668929559706,0.12849196385798223,0.0985892854046037,0.10406222841583668,0.06286470691147732,0.04393204282810514,0.3103545468926217,0.26613223944498393,0.07016536691924125,0.09005798675799258,0.16153603919039405,0.1400926234606736,Forward Packets
Active Mean,0.000688691210956288,0.12264978535841076,0.15276056378142,0.04144997657857767,0.020984345711828032,0.010306207035276623,0.2962435736717257,0.4123623654556808,0.027948208103020514,0.030061508612488602,0.1666122806454057,0.12564704903553056,Active/Idle
act_data_pkt_fwd,0.00942263220067447,0.05417990988061683,0.04713916673040562,0.04711816372235084,0.11060266809718203,0.14100891187876516,0.13086407022517718,0.12724762083474356,0.0317700600541483,0.15844587699932683,0.10841073030040962,0.12342127431008479,Window Size
min_seg_size_forward,0.016339139656456295,0.04289077932814234,0.10259533018737593,0.005557322899509492,0.00017059693883328294,0.24451387414093967,0.10359673853977061,0.2769461698328624,0.003747100232897218,0.0002443917678648543,0.15557935590202138,0.1089788666617744,Window Size
Fwd IAT Min,0.005388980361297159,0.061965932264608004,0.10466129898273455,0.08745908279574495,0.03623722515691465,0.08064564557960291,0.14967012919202577,0.2825230527555433,0.05897047111331941,0.051912300297895786,0.13285845430132584,0.10857460810029682,Packet Timing
Total Backward Packets,0.010377383297861174,0.12352610791856167,0.021468889441620273,0.05526374916162761,0.012514006567512302,0.15529668311531172,0.29836020947463104,0.057953190369999116,0.03726233135968862,0.01792716920375396,0.14208527821717326,0.10483784551314747,Backward Packets
Subflow Fwd Packets,0.008242512198970754,0.07900356792367735,0.06502861721469326,0.05441525269846811,0.020946113425654847,0.1233485136182137,0.19082217898820106,0.1755384619772163,0.036690221127440276,0.03000673825100802,0.1289903465098177,0.09929526403217478,Subflow
Total Fwd Packets,0.007575566015922923,0.07969655079747517,0.06502861721469326,0.05441525269846811,0.020946113425654854,0.11336771912784417,0.1924959831650878,0.1755384619772163,0.036690221127440276,0.03000673825100803,0.1264145592069285,0.09749221292015237,Forward Packets
Subflow Bwd Packets,0.006844631068369638,0.12427823138529437,0.021468889441620273,0.05526374916162761,0.012514006567512285,0.10242933806684155,0.3001768595647731,0.057953190369999116,0.03726233135968862,0.017927169203753937,0.12667923722516772,0.09405361681874358,Subflow
packets_total,0.00870986915907844,0.10702772719056597,0.03155627496055679,0.0557038562636741,0.004534054951356678,0.13034247188807327,0.25851065529583106,0.08518311182933569,0.037559079534016174,0.006495343426070142,0.13015679763975094,0.0930583613756467,Engineered - Traffic Volume
Flow IAT Min,0.004910909330365578,0.07613391591785512,0.06119894135907131,0.00437995460595945,0.04372732649485378,0.07349135212563616,0.18389093191822226,0.16520062244807954,0.00295324371479629,0.062642382091771,0.10179857403556139,0.09005171645242427,Flow Duration
Bwd IAT Min,0.001615838782859421,0.10145537592354836,0.03201885099924613,0.09689356097345697,0.03778139590558712,0.024180893798041482,0.24505141239319145,0.08643179110097017,0.06533179580440202,0.05412443037323119,0.10213642840900485,0.08773282899827274,Packet Timing
Bwd IAT Mean,0.002797608390600532,0.13044838998453834,0.0006451604815574732,0.012717228407318653,0.03527446459622785,0.04186597827656343,0.31508002330223833,0.001741548313832053,0.008574763494681375,0.05053308003130738,0.09382179984496537,0.08083518390086797,Packet Timing
Fwd PSH Flags,0.00020816900312617837,0.005754486114971646,0.0835883403545739,0.2118597599492385,0.04657594167897989,0.0031152319216713716,0.013899164408334802,0.22563863931823874,0.14284931255612465,0.06672321792374096,0.08524941668126403,0.0796915570540071,TCP Flags
SYN Flag Count,0.00034445222013923705,0.002631511667569697,0.0835883403545739,0.2118597599492385,0.04657594167897989,0.0051546989972273355,0.0063560520573404345,0.22563863931823874,0.14284931255612465,0.06672321792374096,0.08397547871618222,0.07879980047844984,TCP Flags
ECE Flag Count,0.0,0.0007063059463316979,0.008227366529476376,0.02078048994838051,0.00010017437702816121,0.0,0.0017059842137958025,0.022208980116230865,0.01401152679686251,0.00014350663771638814,0.008371173775910751,0.005902873634452441,TCP Flags
Fwd URG Flags,7.679504393294746e-06,0.0035610431217816263,0.005817219359154575,0.014692747911115727,0.0007710092684687774,0.00011492314835223818,0.008601206576211629,0.015703020962582505,0.009906784276382648,0.0011045234425068754,0.007802078850170742,0.0057928122278715815,TCP Flags
RST Flag Count,0.0,0.0,0.008227366529476376,0.02078048994838051,0.00010017437702816121,0.0,0.0,0.022208980116230865,0.01401152679686251,0.00014350663771638814,0.0079446777224618,0.0056043263970381755,TCP Flags
connection_failed,0.0,0.0,0.008227366529476376,0.02078048994838051,0.00010017437702816121,0.0,0.0,0.022208980116230865,0.01401152679686251,0.00014350663771638814,0.0079446777224618,0.0056043263970381755,Engineered - Connection State
CWE Flag Count,3.384112649529484e-05,0.0011096458854262803,0.005817219359154575,0.014692747911115727,0.0007710092684687774,0.0005064296602292938,0.0026801959876912667,0.015703020962582505,0.009906784276382648,0.0011045234425068754,0.006439278156603768,0.0048388517423747,TCP Flags
Bwd Avg Bulk Rate,0.0,0.0,,0.0,1.1462154564990414e-65,0.0,0.0,,0.0,1.6420319361156676e-65,,,Bulk Transfer
Bwd Avg Packets/Bulk,0.0,0.0,,0.0,2.6460736336854637e-66,0.0,0.0,,0.0,3.7906812259330193e-66,,,Bulk Transfer
Bwd URG Flags,0.0,0.0,,0.0,7.892194550740424e-37,0.0,0.0,,0.0,1.1306107787043838e-36,,,TCP Flags
Fwd Avg Bulk Rate,0.0,0.00032745182831916964,,0.0,2.2922135944776697e-62,0.0,0.0007909145502630839,,0.0,3.28375254860644e-62,,,Bulk Transfer
Bwd Avg Bytes/Bulk,0.0,0.0,,0.0,9.032479666626782e-70,0.0,0.0,,0.0,1.2939644105147325e-69,,,Bulk Transfer
Fwd Avg Packets/Bulk,0.0,0.0,,0.0,1.5478054543504968e-63,0.0,0.0,,0.0,2.217337039495473e-63,,,Bulk Transfer
Fwd Avg Bytes/Bulk,0.0,0.0,,0.0,4.274238631252442e-56,0.0,0.0,,0.0,6.1231388002153485e-56,,,Bulk Transfer
Bwd PSH Flags,0.0,0.0,,0.0,3.22981100667599e-36,0.0,0.0,,0.0,4.6269248861627996e-36,,,TCP Flags
